question,trial,final_answer,correct_pct,diagnosis,elapsed_sec
현대자동차의 2024년 영업이익은 전년 대비 몇 퍼센트 증가했어?,1,현대자동차의 2024년 영업이익은 전년 대비 5.9% 감소했습니다.,-5.865768540430059,성공,57.1
현대자동차의 2024년 영업이익은 전년 대비 몇 퍼센트 증가했어?,2,현대자동차의 2024년 영업이익은 전년 대비 5.9% 감소했습니다.,-5.865768540430059,성공,46.7
현대자동차의 2024년 영업이익은 전년 대비 몇 퍼센트 증가했어?,3,현대자동차의 2024년 영업이익은 전년 대비 5.9% 감소했습니다.,-5.865768540430059,성공,46.7
현대자동차의 2024년 영업이익은 전년 대비 몇 퍼센트 증가했어?,4,현대자동차의 2024년 영업이익은 전년 대비 5.9% 감소했습니다.,-5.865768540430059,성공,46.7
현대자동차의 2024년 영업이익은 전년 대비 몇 퍼센트 증가했어?,5,현대자동차의 2024년 영업이익은 전년 대비 5.9% 감소했습니다.,-5.865768540430059,성공,46.7
삼성전자의 2024년 매출액은 전년 대비 몇 퍼센트 증가했어?,1,삼성전자의 2024년 매출액은 전년 대비 16.2% 증가했습니다.,16.195311176612968,성공,46.5
삼성전자의 2024년 매출액은 전년 대비 몇 퍼센트 증가했어?,2,삼성전자의 2024년 매출액은 전년 대비 16.2% 증가했습니다.,16.195311176612968,성공,46.5
삼성전자의 2024년 매출액은 전년 대비 몇 퍼센트 증가했어?,3,삼성전자의 2024년 매출액은 전년 대비 16.2% 증가했습니다.,16.195311176612968,성공,46.6
삼성전자의 2024년 매출액은 전년 대비 몇 퍼센트 증가했어?,4,삼성전자의 2024년 매출액은 전년 대비 16.2% 증가했습니다.,16.195311176612968,성공,46.5
삼성전자의 2024년 매출액은 전년 대비 몇 퍼센트 증가했어?,5,삼성전자의 2024년 매출액은 전년 대비 16.2% 증가했습니다.,16.195311176612968,성공,46.6
NAVER의 2023년 영업이익은 전년 대비 몇 퍼센트 증가했어?,1,NAVER의 2023년 영업이익은 전년 대비 14.1% 증가했습니다.,14.115189896868156,성공,48.2
NAVER의 2023년 영업이익은 전년 대비 몇 퍼센트 증가했어?,2,NAVER의 2023년 영업이익은 전년 대비 14.1% 증가했습니다.,14.115189896868156,성공,46.8
NAVER의 2023년 영업이익은 전년 대비 몇 퍼센트 증가했어?,3,NAVER의 2023년 영업이익은 전년 대비 14.1% 증가했습니다.,14.115189896868156,성공,48.3
NAVER의 2023년 영업이익은 전년 대비 몇 퍼센트 증가했어?,4,NAVER의 2023년 영업이익은 전년 대비 14.1% 증가했습니다.,14.115189896868156,성공,48.3
NAVER의 2023년 영업이익은 전년 대비 몇 퍼센트 증가했어?,5,NAVER의 2023년 영업이익은 전년 대비 14.1% 증가했습니다.,14.115189896868156,성공,46.8
